,DNN,HGEN,ICLN,OCGN,VGT,VUZI,XLV,^NBI,price%_DNN,price%_HGEN,price%_ICLN,price%_OCGN,price%_VGT,price%_VUZI,price%_XLV,price%_^NBI,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI,sma_DNN,sma_HGEN,sma_ICLN,sma_OCGN,sma_VGT,sma_VUZI,sma_XLV,sma_^NBI,profit_DNN,profit_HGEN,profit_ICLN,profit_OCGN,profit_VGT,profit_VUZI,profit_XLV,profit_^NBI
2018-06-22,0.5299999713897705,3.150000095367432,8.949999809265137,168.60000610351562,185.8699951171875,7.599999904632568,84.93000030517578,3525.449951171875,0.0392156496088299,0.14545458013361168,0.007882848414650714,-0.027681591475915663,-0.00529811350706614,0.0935251961447406,0.004494349375544683,-0.0028003298714145094,53.51889279038736,50.9002368071638,27.818867128514132,57.34621339149564,50.98448379636675,64.55773492837727,57.25725043719321,60.71199414694011,1.0102610974186248,1.1126692911933918,1.0273583417818204,1.0749831516684758,1.0648529301069651,0.9553431307460041,0.9970977067653174,0.9894858354175401,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-25,0.5099999904632568,3.150000095367432,8.899999618530273,162.0,181.57000732421875,7.300000190734863,84.1500015258789,3460.85009765625,-0.03773581510593208,0.0,-0.005586613608986063,-0.039145942257341367,-0.023134383740945865,-0.039473647060816505,-0.009184019504228596,-0.018323860616473005,48.88037137975425,50.90023680716381,26.31354226134784,52.21736632073197,38.69446951336229,58.88940953577237,50.2170446262463,51.41128385415842,1.011377487140587,1.1148985052160798,1.0256903093340826,1.0716579222810898,1.06487030505899,0.9581982960091637,0.9975262365409121,0.9903247147694666,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2018-06-26,0.5,3.150000095367432,8.819999694824219,153.60000610351562,182.52999877929688,7.449999809265137,83.88999938964844,3449.5,-0.01960782480441495,0.0,-0.008988755857864374,-0.05185181417582947,0.0052871697766907364,0.02054789241247589,-0.0030897460667366657,-0.0032795692780616214,46.70089418392489,50.90023680716381,24.069360905967287,46.51532477196332,42.05286003073234,60.74529921888304,48.09421385964702,49.96303504754887,1.0109711486385082,1.1169004662467792,1.0240064855700695,1.0678880476473813,1.06479203914946,0.9614257550472826,0.9977740935120674,0.9912155827616038,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-27,0.4900000095367431,3.150000095367432,8.65999984741211,147.0,179.72999572753906,7.079999923706055,83.18000030517578,3376.530029296875,-0.019999980926513783,0.0,-0.018140572896618242,-0.04296878802900362,-0.015339960940576073,-0.04966441544051242,-0.008463453208229088,-0.02115378191132773,44.5611638617761,50.90023680716381,20.33411942991062,42.58090783929816,35.87911022893922,54.2407093008444,42.77639041901356,41.80882413777714,1.0101584716343508,1.1174736041080333,1.0219508325889959,1.064522327003101,1.064118677511785,0.961972230883461,0.9977788899168032,0.9914122120316899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-28,0.4799999892711639,3.25,8.65999984741211,149.39999389648438,181.2899932861328,7.25,83.29000091552734,3397.090087890625,-0.020408204226431473,0.031746000509534404,0.0,0.016326489091730442,0.008679672818546225,0.02401131046975465,0.0013224406100984089,0.006089108764133043,42.46580145637684,52.36711147918744,20.33411942991062,44.42184486714,41.06998043952248,56.54319654946024,43.81296179745411,44.55459051712144,1.0086355785879484,1.1198938482482754,1.019723508321431,1.0616030889288213,1.063624075939172,0.9631259160626109,0.9977974692561793,0.9917053207117859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,0.5,3.3499999046325684,8.729999542236328,150.0,181.3999938964844,7.449999809265137,83.45999908447266,3453.429931640625,0.041666689949731675,0.030769201425405648,0.00808310578032365,0.004016105274618383,0.0006067660346700728,0.02758618058829472,0.0020410393453798195,0.016584736433935265,47.75689715968158,53.85185866146912,26.1491942543513,44.89749124943303,41.43003758567336,59.14755722233036,45.45731206331921,51.33148219029212,1.008126778218179,1.121813030277513,1.0175897961055247,1.0591615303647297,1.0633756110312447,0.9646955045077343,0.9979960042307179,0.9925035806749555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-02,0.5199999809265137,3.3499999046325684,8.729999542236328,147.0,183.3000030517578,7.449999809265137,83.72000122070312,3484.419921875,0.039999961853027344,0.0,0.0,-0.02,0.010474141230443735,0.0,0.003115290427541365,0.008973684379822511,52.46471536710089,53.85185866146912,26.149194254351304,42.91967140777862,47.407340489566565,59.14755722233036,47.96553779842234,54.617316113449135,1.0086320706889254,1.1256583883676075,1.0156167191853176,1.0564764513457572,1.0635654864043,0.9652164815241253,0.998353445692548,0.9935696966473382,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2018-07-03,0.5099999904632568,3.3499999046325684,8.770000457763672,150.0,181.25999450683597,7.400000095367432,83.91999816894531,3487.419921875,-0.019230751596258297,0.0,0.004582006600781205,0.02040816326530612,-0.011129342667527485,-0.006711371164805039,0.0023888789456052973,0.0008609754470654247,50.03679257448168,53.85185866146912,29.556918495784707,45.50494456559044,42.403607760596,58.1373604753755,49.87501922245396,54.93451092601976,1.0091370550622685,1.1296278923459318,1.0138612489261463,1.0540576578241723,1.0636775540826247,0.9659576689115227,0.9986359735385345,0.9946831303764503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-05,0.5099999904632568,3.3499999046325684,8.789999961853027,151.8000030517578,183.63999938964844,7.599999904632568,84.79000091552734,3525.39990234375,0.0,0.0,0.002280445045091285,0.012000020345052083,0.01313033738794863,0.027027000903735277,0.010367049160684762,0.010890567043710121,50.03679257448168,53.85185866146913,31.264664360208645,47.05442574555981,49.14723598614691,61.00623201065787,57.2280351539892,58.8552545568915,1.0104536678176237,1.1338818222067497,1.0122487294618836,1.0515951217347395,1.0643786711503,0.9683466953151652,0.9992224574622028,0.996252429031189,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018-07-06,0.5099999904632568,3.3499999046325684,8.880000114440918,148.8000030517578,185.8300018310547,7.550000190734863,86.01000213623047,3656.5,0.0,0.0,0.010238925253523849,-0.019762845452493953,0.011925519759774612,-0.006578909805936685,0.014388503450053741,0.037187298260572446,50.03679257448168,53.85185866146913,38.49121048442123,44.76963987389392,54.43400822491677,59.90103065356273,64.98496958951472,68.91012176967355,1.0112610317936706,1.1379020938631093,1.0108707183714247,1.048993300852918,1.0653134368878407,0.9703960589340351,0.999900505880495,0.998378644294643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-09,0.5099999904632568,3.0,9.0,148.8000030517578,187.44000244140625,7.800000190734863,86.63999938964844,3676.800048828125,0.0,-0.10447758644666491,0.013513500451867638,0.0,0.008663835734206562,0.03311258194493725,0.007324697567384335,0.005551770498598387,50.03679257448168,46.50302302158111,46.55888714441506,44.76963987389392,57.899238601653735,63.464996499934045,68.19285389963504,70.12746431104526,1.012473378764023,1.1392946828079396,1.0094057888688304,1.046955118715113,1.065960866501746,0.9731111684346092,1.0004469842140669,1.0002386168975559,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
