Date,dnn,negative,neutral,positive,signal
2011-01-11,3.2699999809265137,1.0,0.0,0.0,-1.0
2011-01-12,3.3399999141693115,0.0,1.0,0.0,0.0
2011-01-13,3.2899999618530273,0.0,1.0,0.0,0.0
2011-01-14,3.3299999237060547,0.0,1.0,0.0,0.0
2011-01-18,3.549999952316284,0.25,0.75,0.0,-0.25
2011-01-19,3.4100000858306885,0.0,0.555555556,0.444444444,0.444444444
2011-01-20,3.2699999809265137,0.0,0.636363636,0.363636364,0.363636364
2011-01-21,3.4100000858306885,0.0,0.0,1.0,1.0
2011-01-24,3.4000000953674316,0.0,0.666666667,0.333333333,0.333333333
2011-01-25,3.3399999141693115,0.0,1.0,0.0,0.0
2011-01-26,3.5,,,,
2011-01-27,3.4600000381469727,,,,
2011-01-28,3.4000000953674316,0.0,1.0,0.0,0.0
2011-01-31,3.75,0.25,0.5,0.25,0.0
2011-02-01,3.9800000190734863,0.0,0.75,0.25,0.25
2011-02-02,3.950000047683716,0.0,0.75,0.25,0.25
2011-02-03,3.9200000762939453,0.0,0.75,0.25,0.25
2011-02-04,3.9700000286102295,0.0,1.0,0.0,0.0
2011-02-07,4.130000114440918,0.0,0.285714286,0.714285714,0.714285714
2011-02-08,4.110000133514404,0.0,0.8,0.2,0.2
2011-02-09,4.079999923706055,0.0,1.0,0.0,0.0
2011-02-10,4.050000190734863,0.0,1.0,0.0,0.0
2011-02-11,4.139999866485596,0.0,1.0,0.0,0.0
2011-02-14,4.449999809265137,0.0,1.0,0.0,0.0
2011-02-15,4.28000020980835,0.0,1.0,0.0,0.0
2011-02-16,4.170000076293945,0.0,0.5,0.5,0.5
2011-02-17,4.150000095367432,0.0,1.0,0.0,0.0
2011-02-18,4.139999866485596,0.0,0.882352941,0.117647059,0.117647059
2011-02-22,3.7200000286102295,0.0,0.555555556,0.444444444,0.444444444
2011-02-23,3.7100000381469727,0.0,0.9375,0.0625,0.0625
2011-02-24,3.609999895095825,0.111111111,0.777777778,0.111111111,0.0
2011-02-25,3.890000104904175,0.052631579,0.789473684,0.157894737,0.10526315800000001
2011-02-28,3.7799999713897705,0.5,0.5,0.0,-0.5
2011-03-01,3.7200000286102295,0.0,1.0,0.0,0.0
2011-03-02,3.7100000381469727,0.0,1.0,0.0,0.0
2011-03-03,3.9100000858306885,0.0,1.0,0.0,0.0
2011-03-04,3.8499999046325684,0.0,0.75,0.25,0.25
2011-03-07,3.640000104904175,0.0,1.0,0.0,0.0
2011-03-08,3.4600000381469727,,,,
2011-03-09,3.3499999046325684,,,,
2011-03-10,3.200000047683716,0.0,0.869565217,0.130434783,0.130434783
2011-03-11,3.2899999618530273,0.058823529,0.823529412,0.117647059,0.05882353
2011-03-14,2.549999952316284,0.0,0.875,0.125,0.125
2011-03-15,2.369999885559082,0.0,0.863636364,0.136363636,0.136363636
2011-03-16,2.2899999618530273,0.125,0.625,0.25,0.125
2011-03-17,2.4200000762939453,0.0,1.0,0.0,0.0
2011-03-18,2.609999895095825,0.0,0.666666667,0.333333333,0.333333333
2011-03-21,2.869999885559082,0.0,0.8,0.2,0.2
2011-03-22,2.8299999237060547,0.0,1.0,0.0,0.0
2011-03-23,2.7699999809265137,0.0,1.0,0.0,0.0
2011-03-24,2.700000047683716,0.0,1.0,0.0,0.0
2011-03-25,2.7300000190734863,,,,
2011-03-28,2.569999933242798,0.0,1.0,0.0,0.0
2011-03-29,2.5199999809265137,0.5,0.0,0.5,0.0
2011-03-30,2.430000066757202,0.0,1.0,0.0,0.0
2011-03-31,2.380000114440918,0.0,0.5,0.5,0.5
2011-04-01,2.490000009536743,0.0,1.0,0.0,0.0
2011-04-04,2.490000009536743,,,,
2011-04-05,2.490000009536743,,,,
2011-04-06,2.5299999713897705,0.0,1.0,0.0,0.0
2011-04-07,2.4600000381469727,,,,
2011-04-08,2.490000009536743,0.0,0.5,0.5,0.5
2011-04-11,2.4200000762939453,0.0,1.0,0.0,0.0
2011-04-12,2.25,,,,
2011-04-13,2.319999933242798,0.0,1.0,0.0,0.0
2011-04-14,2.359999895095825,0.333333333,0.333333333,0.333333333,0.0
2011-04-15,2.380000114440918,0.0,0.8,0.2,0.2
2011-04-18,2.2899999618530273,,,,
2011-04-19,2.2899999618530273,0.0,1.0,0.0,0.0
2011-04-20,2.369999885559082,,,,
2011-04-21,2.4000000953674316,0.0,0.0,1.0,1.0
2011-04-25,2.4100000858306885,,,,
2011-04-26,2.3499999046325684,0.0,1.0,0.0,0.0
2011-04-27,2.3299999237060547,0.0,1.0,0.0,0.0
2011-04-28,2.299999952316284,0.0,1.0,0.0,0.0
2011-04-29,2.3399999141693115,0.0,0.833333333,0.166666667,0.166666667
2011-05-02,2.3499999046325684,0.0,1.0,0.0,0.0
2011-05-03,2.3499999046325684,0.0,1.0,0.0,0.0
2011-05-04,2.319999933242798,0.05,0.65,0.3,0.25
2011-05-05,2.180000066757202,0.0,1.0,0.0,0.0
2011-05-06,2.1600000858306885,,,,
2011-05-09,2.2300000190734863,0.0,1.0,0.0,0.0
2011-05-10,2.240000009536743,0.0,0.5,0.5,0.5
2011-05-11,2.1600000858306885,0.0,1.0,0.0,0.0
2011-05-12,2.109999895095825,0.0,0.545454545,0.454545455,0.454545455
2011-05-13,2.140000104904175,0.0,0.8,0.2,0.2
2011-05-16,2.0199999809265137,0.0,1.0,0.0,0.0
2011-05-17,2.0,0.0,1.0,0.0,0.0
2011-05-18,2.109999895095825,0.0,0.833333333,0.166666667,0.166666667
2011-05-19,2.0799999237060547,0.0,1.0,0.0,0.0
2011-05-20,2.0299999713897705,,,,
2011-05-23,2.009999990463257,0.0,1.0,0.0,0.0
2011-05-24,2.119999885559082,0.0,1.0,0.0,0.0
2011-05-25,2.119999885559082,0.166666667,0.833333333,0.0,-0.166666667
2011-05-26,2.1500000953674316,1.0,0.0,0.0,-1.0
2011-05-27,2.359999895095825,,,,
2011-05-31,2.2899999618530273,0.0,1.0,0.0,0.0
2011-06-01,2.2200000286102295,0.0,0.0,1.0,1.0
2011-06-02,2.140000104904175,0.0,1.0,0.0,0.0
2011-06-03,2.119999885559082,0.5,0.5,0.0,-0.5
2011-06-06,2.0299999713897705,0.0,0.75,0.25,0.25
2011-06-07,2.009999990463257,0.0,1.0,0.0,0.0
2011-06-08,1.8300000429153442,0.0,1.0,0.0,0.0
2011-06-09,1.8799999952316284,0.0,1.0,0.0,0.0
2011-06-10,1.7999999523162842,0.0,1.0,0.0,0.0
2011-06-13,1.75,1.0,0.0,0.0,-1.0
2011-06-14,1.850000023841858,0.0,1.0,0.0,0.0
2011-06-15,1.7699999809265137,0.25,0.5,0.25,0.0
2011-06-16,1.7300000190734863,0.0,1.0,0.0,0.0
2011-06-17,1.809999942779541,0.0,1.0,0.0,0.0
2011-06-20,1.7000000476837158,0.0,1.0,0.0,0.0
2011-06-21,1.7699999809265137,0.0,1.0,0.0,0.0
2011-06-22,1.7999999523162842,0.166666667,0.833333333,0.0,-0.166666667
2011-06-23,1.840000033378601,0.0,1.0,0.0,0.0
2011-06-24,1.7999999523162842,,,,
2011-06-27,1.75,0.0,1.0,0.0,0.0
2011-06-28,1.6799999475479126,0.0,1.0,0.0,0.0
2011-06-29,1.75,,,,
2011-06-30,1.9199999570846558,0.0,1.0,0.0,0.0
2011-07-01,1.850000023841858,0.0,1.0,0.0,0.0
2011-07-05,1.9700000286102295,1.0,0.0,0.0,-1.0
2011-07-06,1.9800000190734863,0.0,1.0,0.0,0.0
2011-07-07,2.0299999713897705,0.0,1.0,0.0,0.0
2011-07-08,1.9600000381469727,0.0,1.0,0.0,0.0
2011-07-11,1.850000023841858,,,,
2011-07-12,1.8799999952316284,,,,
2011-07-13,1.8700000047683716,,,,
2011-07-14,1.8600000143051147,,,,
2011-07-15,1.909999966621399,,,,
2011-07-18,1.8700000047683716,,,,
2011-07-19,1.899999976158142,,,,
2011-07-20,1.8899999856948853,0.0,0.0,1.0,1.0
2011-07-21,1.9600000381469727,,,,
2011-07-22,2.1500000953674316,,,,
2011-07-25,2.0999999046325684,,,,
2011-07-26,2.140000104904175,0.0,0.0,1.0,1.0
2011-07-27,2.0199999809265137,0.0,1.0,0.0,0.0
2011-07-28,2.009999990463257,0.0,1.0,0.0,0.0
2011-07-29,2.109999895095825,0.0,0.0,1.0,1.0
2011-08-01,2.059999942779541,,,,
2011-08-02,2.0199999809265137,,,,
2011-08-03,1.9500000476837158,,,,
2011-08-04,1.7200000286102295,0.0,0.588235294,0.411764706,0.411764706
2011-08-05,1.600000023841858,0.0,1.0,0.0,0.0
2011-08-08,1.440000057220459,0.0,1.0,0.0,0.0
2011-08-09,1.5499999523162842,0.0,0.5,0.5,0.5
2011-08-10,1.5299999713897705,,,,
2011-08-11,1.6299999952316284,0.0,1.0,0.0,0.0
2011-08-12,1.6699999570846558,,,,
2011-08-15,1.7300000190734863,,,,
2011-08-16,1.5800000429153442,0.0,1.0,0.0,0.0
2011-08-17,1.590000033378601,,,,
2011-08-18,1.5,,,,
2011-08-19,1.4600000381469727,0.0,1.0,0.0,0.0
