Date,hgen,negative,neutral,positive,signal
2018-01-24,2.5,,,,
2018-01-25,2.5,0.0,1.0,0.0,0.0
2018-01-26,2.950000047683716,0.0,0.333333333,0.666666667,0.666666667
2018-01-29,2.75,0.0,1.0,0.0,0.0
2018-01-30,2.950000047683716,0.0,1.0,0.0,0.0
2018-01-31,2.75,0.0,1.0,0.0,0.0
2018-02-01,2.9000000953674316,,,,
2018-02-02,2.700000047683716,,,,
2018-02-05,2.700000047683716,,,,
2018-02-06,2.5999999046325684,,,,
2018-02-07,3.0999999046325684,0.0,1.0,0.0,0.0
2018-02-08,2.8499999046325684,0.0,1.0,0.0,0.0
2018-02-09,2.9000000953674316,0.0,1.0,0.0,0.0
2018-02-12,2.950000047683716,0.0,1.0,0.0,0.0
2018-02-13,2.700000047683716,,,,
2018-02-14,2.5999999046325684,0.0,0.0,1.0,1.0
2018-02-15,2.700000047683716,,,,
2018-02-16,3.1500000953674316,,,,
2018-02-20,3.200000047683716,,,,
2018-02-21,3.200000047683716,0.0,1.0,0.0,0.0
2018-02-22,3.450000047683716,,,,
2018-02-23,3.0,,,,
2018-02-26,3.25,,,,
2018-02-27,3.25,0.0,1.0,0.0,0.0
2018-02-28,3.049999952316284,,,,
2018-03-01,3.25,0.0,1.0,0.0,0.0
2018-03-02,3.75,0.0,1.0,0.0,0.0
2018-03-05,3.75,0.0,0.7,0.3,0.3
2018-03-06,3.0,0.0,1.0,0.0,0.0
2018-03-07,3.049999952316284,0.0,1.0,0.0,0.0
2018-03-08,3.6500000953674316,0.0,1.0,0.0,0.0
2018-03-09,3.3499999046325684,,,,
2018-03-12,3.75,0.0,1.0,0.0,0.0
2018-03-13,3.75,0.0,1.0,0.0,0.0
2018-03-14,3.450000047683716,0.0,1.0,0.0,0.0
2018-03-15,3.8499999046325684,0.0,0.8,0.2,0.2
2018-03-16,3.3499999046325684,0.0,1.0,0.0,0.0
2018-03-19,3.3499999046325684,,,,
2018-03-20,2.9000000953674316,,,,
2018-03-21,3.0999999046325684,,,,
2018-03-22,3.4000000953674316,,,,
2018-03-23,3.75,,,,
2018-03-26,3.5,0.0,1.0,0.0,0.0
2018-03-27,3.25,0.0,1.0,0.0,0.0
2018-03-28,2.75,,,,
2018-03-29,3.0,0.0,1.0,0.0,0.0
2018-04-02,3.0,,,,
2018-04-03,2.8499999046325684,,,,
2018-04-04,3.0,,,,
2018-04-05,2.75,,,,
2018-04-06,2.950000047683716,,,,
2018-04-09,2.5999999046325684,,,,
2018-04-10,2.3499999046325684,,,,
2018-04-11,2.700000047683716,,,,
2018-04-12,2.6500000953674316,,,,
2018-04-13,2.4000000953674316,,,,
2018-04-16,2.4000000953674316,0.0,1.0,0.0,0.0
2018-04-17,2.5999999046325684,0.0,1.0,0.0,0.0
2018-04-18,2.4000000953674316,0.0,1.0,0.0,0.0
2018-04-19,2.549999952316284,0.0,0.0,1.0,1.0
2018-04-20,2.25,0.0,1.0,0.0,0.0
2018-04-23,2.299999952316284,0.0,1.0,0.0,0.0
2018-04-24,2.4000000953674316,,,,
2018-04-25,2.4000000953674316,,,,
2018-04-26,2.5,,,,
2018-04-27,2.25,,,,
2018-04-30,2.299999952316284,0.0,1.0,0.0,0.0
2018-05-01,2.299999952316284,,,,
2018-05-02,2.299999952316284,0.0,1.0,0.0,0.0
2018-05-03,3.25,0.0,0.5,0.5,0.5
2018-05-04,3.25,0.0,0.333333333,0.666666667,0.666666667
2018-05-07,3.200000047683716,0.0,1.0,0.0,0.0
2018-05-08,3.5,0.0,0.0,1.0,1.0
2018-05-09,3.3499999046325684,0.0,0.5,0.5,0.5
2018-05-10,3.299999952316284,,,,
2018-05-11,3.200000047683716,,,,
2018-05-14,3.299999952316284,0.0,1.0,0.0,0.0
2018-05-15,3.299999952316284,,,,
2018-05-16,3.200000047683716,0.0,1.0,0.0,0.0
2018-05-17,3.0,,,,
2018-05-18,2.799999952316284,,,,
2018-05-21,2.799999952316284,,,,
2018-05-22,2.549999952316284,0.0,1.0,0.0,0.0
2018-05-23,2.549999952316284,,,,
2018-05-24,2.700000047683716,,,,
2018-05-25,3.5999999046325684,0.0,1.0,0.0,0.0
2018-05-29,3.0,,,,
2018-05-30,2.8499999046325684,0.0,1.0,0.0,0.0
2018-05-31,2.950000047683716,0.0,1.0,0.0,0.0
2018-06-01,2.950000047683716,,,,
2018-06-04,2.75,0.0,0.666666667,0.333333333,0.333333333
2018-06-05,3.0,,,,
2018-06-06,2.950000047683716,,,,
2018-06-07,2.950000047683716,0.5,0.0,0.5,0.0
2018-06-08,2.75,0.0,0.4,0.6,0.6
2018-06-11,3.549999952316284,0.0,1.0,0.0,0.0
2018-06-12,2.799999952316284,0.0,1.0,0.0,0.0
2018-06-13,3.5,0.0,1.0,0.0,0.0
2018-06-14,3.450000047683716,,,,
