Date,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI
2015-04-28,68.72553072269214,45.03663929984344,70.41159347836854,53.87233936401537,64.17820739362253,56.359239599818224,50.07806519952728,42.56740733038288
2015-04-29,56.31505753895355,43.9366441656678,56.546334378602346,46.521812935718984,60.328747028761775,56.35923959981821,45.18497236499002,42.545582451202336
2015-04-30,52.88673787506537,42.810586453695436,52.90038641046373,42.75259770621578,49.179148781652366,55.79839369472095,38.946015226917766,35.381578311443526
2015-05-01,49.632802208857136,45.80236067583287,55.51413659870209,41.45419125962921,55.939833719235786,52.16465569859734,46.509922275802545,44.51571327374521
2015-05-04,52.76271200506907,48.692877582571995,56.918484402533245,45.04870979675403,56.30275232527352,54.14372589917019,49.69288085541146,45.76700771382325
2015-05-05,55.72564770160664,48.692877582571995,53.57902556511062,42.53749530774946,47.32905235089998,49.71373000489139,44.04749475408695,40.91760949835812
2015-05-06,49.09321601744033,47.23214021378508,50.668598822611976,42.675150775001484,44.59831787497901,40.92421159677448,42.466256502509104,43.564809688596654
2015-05-07,43.51561471807505,45.75398411562999,53.651092196871375,45.1649262106758,48.62761197120076,45.93892666173136,45.04600945754761,46.27087808812546
2015-05-08,51.008383335926176,45.75398411563,59.20478465539244,44.38638404721336,55.506754114081616,45.71896126677753,52.876495081850386,52.64090031606871
2015-05-11,48.25119672462579,47.6539084340461,54.609051328242906,48.0400689628187,53.33107094382867,53.4073691570362,53.12243213551996,52.79710835014052
2015-05-12,51.097866511077314,45.921811666117,53.71102884586018,50.29093231128661,50.50505127791123,50.51769532629989,49.83160553521853,52.20958530226203
2015-05-13,58.47738243117937,44.19198794956762,57.476330028951516,45.8767275737882,52.95425990239675,42.474283811414665,50.39490451319115,51.58500522712494
2015-05-14,56.9352754790879,42.46916274560394,58.682799964880495,41.48050387503129,60.03911660987769,37.67115865787641,56.96455292926833,55.49165370269278
2015-05-15,51.12730027840061,46.925691392608535,60.14409804651639,43.980446125913545,58.34360777170507,39.697034490928864,57.857235242540284,55.85416021613836
2015-05-18,53.67203150137363,46.925691392608535,59.76469581274263,41.14132968489274,60.54966845569149,44.99205347333536,60.44882672922311,59.547793223232674
2015-05-19,47.073117546752364,44.908425222499034,53.90554568879826,47.1156544598113,59.71321371188497,45.69232891321726,62.428159158089535,59.91518688533204
2015-05-20,45.85872097947959,56.88466686760805,44.26631750141242,44.146031595854915,59.52346405438114,47.14168437851928,62.99791398863498,62.34132759064636
2015-05-21,47.322243872020614,56.88466686760805,42.057468478960374,47.27734456640129,61.20515480975859,43.0202352552934,63.0582570028851,62.42811542079924
2015-05-22,45.98361914891226,52.47472090617461,44.699004849005064,49.31731988391255,61.38702028971753,41.27161826897178,61.12631464763956,63.10929335901273
2015-05-26,44.62420654726384,44.96642164833912,42.35939913002444,49.31731988391256,51.397320069500886,45.01557369115734,53.65210579909273,57.49638923054625
